title,link,image_url,rating,reviews,address,opening_hours,latitude,longitude,kategori,aktivitas,deskripsi,kecamatan,biaya_masuk,biaya_parkir_motor,biaya_parkir_mobil,normalized_rating,normalized_reviews,score
Sitapigagan Waterfall,https://www.google.com/maps/place/Sitapigagan+Waterfall/data=!4m7!3m6!1s0x3031cfaf7151b023:0x21364a73e05dee20!8m2!3d2.6394051!4d98.6095583!16s%2Fg%2F11hj3ndlms!19sChIJI7BRca_PMTARIO5d4HNKNiE?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipNnCKp3hb3tuL-72Tww2Exb8z2sA-4R5sHcIGs=w122-h92-k-no,4.6,25,"Bonan Dolok, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396",Open 08.00-16.00,2.6394051,98.6095583,Bahari,"Aktivitas Air, Pemandangan, Trekking","Air Terjun Sitapigagan adalah permata tersembunyi di Desa Bonan Dolok, Sianjur Mula Mula, Samosir, yang unik karena airnya mengalir di lereng bukit miring menyerupai seluncuran alami. Dikelilingi perbukitan savana dan panorama indah, air terjun ini menawarkan air yang bersih dan segar di tengah suasana yang masih asri. Meskipun aksesnya mungkin memerlukan trekking, keindahan alam dan ketenangan yang ditawarkan menjadikannya destinasi menarik bagi pencinta alam.",Sianjur Mula Mula,0,0,0,0.6923076923076921,0.004834810636583401,0.48606582780635943
Sigurgur Beach & Restaurant,https://www.google.com/maps/place/Sigurgur+Beach+%26+Restaurant/data=!4m7!3m6!1s0x3031b932bf2efe37:0xb90006530436cee4!8m2!3d2.7484627!4d98.7142621!16s%2Fg%2F11fm_2lp9n!19sChIJN_4uvzK5MTAR5M42BFMGALk?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipPSky99exs8cBnS0XwAylwIyePnxDVZZJiLnBge=w122-h92-k-no,4.4,357,"Simarmata, Simanindo, Samosir Regency, North Sumatra 22395",Open 08.00-16.00,2.7484627,98.7142621,Bahari,"Berenang, Jet Ski, Perahu, Pemandangan, Santai, Fotografi","Sigurgur Beach & Restaurant adalah destinasi tepi Danau Toba di Simarmata, Simanindo, Samosir, yang menawarkan kombinasi pantai berpasir putih dengan fasilitas restoran modern. Pengunjung dapat menikmati keindahan panorama danau, terutama saat matahari terbenam, sambil bersantai, berenang, atau mencoba berbagai aktivitas air seperti jetski dan berperahu. Tempat ini juga menyediakan spot foto menarik dan pilihan kuliner lokal untuk melengkapi pengalaman wisata alam tepi danau.",Simanindo,0,0,0,0.5384615384615388,0.0717163577759871,0.3984379842558733
Bukit Senyum,https://www.google.com/maps/place/Bukit+Senyum/data=!4m7!3m6!1s0x3031e92d8ff12afb:0x95ba3b586458e443!8m2!3d2.6357725!4d98.9210627!16s%2Fg%2F11cmnmjg7m!19sChIJ-yrxjy3pMTARQ-RYZFg7upU?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipM9herOK8rnNt_txL0qCIfO2i-8x5U8dSJcAsiQ=w122-h92-k-no,4.6,604,"Motung, Kec. Ajibata, Toba, Sumatera Utara",Open 08.00-16.00,2.6357725,98.9210627,Alam,"Pemandangan, Santai, Fotografi, Camping","Bukit Senyum di Desa Motung, Ajibata, Kabupaten Toba, adalah destinasi perbukitan yang menawarkan panorama alam memukau di tepi Danau Toba. Pengunjung dapat menikmati pemandangan indah hamparan danau yang luas, perbukitan hijau, dan Pulau Samosir dari ketinggian. Dengan udara yang sejuk dan suasana yang tenang, bukit ini menjadi tempat favorit untuk bersantai, berfoto, menikmati matahari terbit atau terbenam, dan bahkan berkemah sambil 'healing' dari rutinitas.",Ajibata,5000,2000,10000,0.6923076923076921,0.12147461724415794,0.5210577697886318
Pantai Indah Situngkir (PIS),https://www.google.com/maps/place/Pantai+Indah+Situngkir+%28PIS%29/data=!4m7!3m6!1s0x3031c64f76d9e88b:0xe61959a1d30900db!8m2!3d2.6978299!4d98.6900263!16s%2Fg%2F11b7819pg6!19sChIJi-jZdk_GMTAR2wAJ06FZGeY?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipPyZD_WsgDMCslGCFd_u3qjEjQAc3WPO7M_s6Ye=w189-h92-k-no,4.3,231,"Toba, Sialanguan, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara",Open 24 hours,2.6978299,98.6900263,Bahari,"Berenang, Banana Boat, Sepeda Air, Perahu, Pemandangan, Santai, Fotografi","Pantai Indah Situngkir di Pangururan, Kabupaten Samosir, adalah destinasi wisata pantai di tepi Danau Toba dengan hamparan pasir putih yang mempesona. Dikelilingi perbukitan hijau, pantai ini menawarkan pemandangan danau yang indah dan suasana yang tenang, menjadikannya tempat ideal untuk bersantai dan menikmati alam. Pantai ini juga dilengkapi fasilitas untuk berbagai aktivitas air dan sering menjadi lokasi penyelenggaraan acara, seperti pertandingan voli pantai.",Pangururan,10000,0,0,0.4615384615384617,0.04633360193392425,0.3369770036571004
Air Terjun Sigarattung (Sampuran Na Pitu),https://www.google.com/maps/place/Air+Terjun+Sigarattung+%28Sampuran+Na+Pitu%29/data=!4m7!3m6!1s0x3031e843d6aa3655:0xe888c8532da5c761!8m2!3d2.6100738!4d98.8641736!16s%2Fg%2F11crzqcw0s!19sChIJVTaq1kPoMTARYcelLVPIiOg?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipMzcOTRwUCGe3JyzHpRqBRHGhj_ciIe2WTMwODL=w80-h106-k-no,4.5,314,"Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395",Open 24 hours,2.6100738,98.8641736,Bahari,"Pemandangan, Fotografi, Santai, Hiking","Air Terjun Sigarattung, atau yang juga dikenal sebagai Sampuran Na Pitu (Air Terjun Tujuh Tingkat), adalah permata alam di Tomok, Simanindo, Kabupaten Samosir. Air terjun ini mempesona dengan aliran airnya yang jernih menuruni tebing batu, menciptakan suasana sejuk dan menenangkan di tengah lanskap Samosir yang hijau. Dikelilingi oleh alam yang asri, destinasi ini menawarkan keindahan natural serta ketenangan yang membuatnya menarik bagi pengunjung yang ingin menikmati keajaiban alam.",Simanindo,15000,0,0,0.6153846153846154,0.06305398871877518,0.44968542738486333
Pantai Kenangan,https://www.google.com/maps/place/Pantai+Kenangan/data=!4m7!3m6!1s0x3031bfb2b0f312ed:0xdb7db92344469a08!8m2!3d2.7841487!4d98.8040926!16s%2Fg%2F11d_1ssn7l!19sChIJ7RLzsLK_MTARCJpGRCO5fds?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipPs2tdga-xKTsCDgcTiovvqqySCk6vdu1wQCkbJ=w122-h92-k-no,4.4,119,"Jalan Besar Pematang Siantar Tigaras, Tigaras, Kec. Dolok Pardamean, Kabupaten Simalungun, Sumatera Utara 21163",Open 08.00-16.00,2.7841487,98.8040926,Bahari,"Berenang, Banana Boat, Santai, Pemandangan, Fotografi, Berkuda","Pantai Kenangan di Tigaras, Kabupaten Simalungun, adalah destinasi pantai di tepi Danau Toba yang menawarkan air tawar yang tenang dan cocok untuk berenang, terutama bagi keluarga. Dengan suasana yang sejuk berkat pepohonan di sekitarnya dan hamparan pasir, pantai ini menjadi tempat nyaman untuk bersantai sambil menikmati pemandangan indah Danau Toba. Berbagai fasilitas pendukung dan beberapa pilihan aktivitas air tersedia untuk melengkapi kunjungan.",Dolok Pardamean,10000,0,0,0.5384615384615388,0.02377115229653505,0.38405442261203765
pantai pasir putih,https://www.google.com/maps/place/pantai+pasir+putih/data=!4m7!3m6!1s0x3031c5bd2ab25691:0xb4222cec89d65ac2!8m2!3d2.6955706!4d98.6898657!16s%2Fg%2F11b6v7c3jj!19sChIJkVayKr3FMTARwlrWiewsIrQ?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipNkWk0KQdQgjfvVlVqydFONqnhMSYkwwya-At9b=w163-h92-k-no,4.2,432,"Parbaba Dolok, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara",Open 24 hours,2.6955706,98.6898657,Bahari,"Berenang, Banana Boat, Jet Ski, Kano, Santai, Pemandangan, Fotografi","Pantai Pasir Putih Parbaba di Pangururan, Kabupaten Samosir, adalah salah satu pantai paling terkenal di tepi Danau Toba, yang memikat dengan hamparan pasir putihnya yang luas dan lembut. Pantai ini menawarkan air danau yang jernih dan tenang, ideal untuk berenang dan bermain air, serta menyuguhkan pemandangan indah Danau Toba dengan latar belakang perbukitan hijau dan Gunung Pusuk Buhit. Sebagai destinasi populer, pantai ini menyediakan berbagai fasilitas dan pilihan aktivitas, mulai dari bersantai hingga mencoba olahraga air yang seru.",Pangururan,10000,2000,5000,0.384615384615385,0.08682514101531023,0.29527831153536255
Air Terjun Binanga Bolon,https://www.google.com/maps/place/Air+Terjun+Binanga+Bolon/data=!4m7!3m6!1s0x3031bb94e29fccf9:0x26a7847541d74b70!8m2!3d2.8461519!4d98.7288489!16s%2Fg%2F11f_j0btyz!19sChIJ-cyf4pS7MTARcEvXQXWEpyY?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipPpH_J0G7gfcJFbXYnwBd7q0PCpku0aB_6nFcrR=w122-h92-k-no,4.5,37,"Purba Dolok, Kec. Purba, Kabupaten Simalungun, Sumatera Utara 21165",Open 24 hours,2.8461519,98.7288489,Bahari,"Pemandangan, Trekking, Berenang","Air Terjun Binanga Bolon di Purba Dolok, Kecamatan Purba, Kabupaten Simalungun, adalah air terjun alami yang mempesona dengan ketinggian sekitar 80-100 meter dan aliran air yang deras, berasal dari perbukitan sekitar Danau Toba. Dikelilingi oleh pepohonan dan alam yang hijau, air terjun ini menawarkan pemandangan yang indah dan suasana yang sejuk. Meskipun aksesnya mungkin memerlukan sedikit trekking, keaslian alam dan pesona air terjun ini menjadikannya destinasi menarik bagi pencinta alam.",Purba,0,5000,10000,0.6153846153846154,0.0072522159548751,0.4329448955556933
Bukit Holbung Samosir,https://www.google.com/maps/place/Bukit+Holbung+Samosir/data=!4m7!3m6!1s0x3031da4bba9d523f:0xf1e39423315c1cfc!8m2!3d2.5303623!4d98.6978956!16s%2Fg%2F11fyx7qq1b!19sChIJP1KdukvaMTAR_BxcMSOU4_E?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipNBuawUBUlMIaIptVlyGlMM4FkYAUa_VjoiFCEV=w163-h92-k-no,4.7,709,"Hariara Pohan, Kec. Harian, Kabupaten Samosir, Sumatera Utara",Open 08.00-16.00,2.5303623,98.6978956,Alam,"Pemandangan, Hiking, Fotografi, Camping","Bukit Holbung di Hariara Pohan, Harian, Kabupaten Samosir, dikenal dengan julukan ""Bukit Teletubbies"" karena bentuk perbukitannya yang hijau dan landai. Destinasi alam ini menawarkan pemandangan panorama Danau Toba, Pulau Samosir, dan gugusan bukit di sekitarnya yang sangat memukau. Dengan udara segar dan suasana tenang, Bukit Holbung adalah tempat yang populer untuk menikmati keindahan alam, berfoto, hiking ringan, bersantai, atau bahkan berkemah di bawah langit malam yang berbintang.",Harian,5000,5000,10000,0.7692307692307696,0.1426269137792103,0.5812496125953017
Batu Gantung,https://www.google.com/maps/place/Batu+Gantung/data=!4m7!3m6!1s0x3031eb8946b58f3b:0xcbb5c2b55623b88a!8m2!3d2.6883926!4d98.9242995!16s%2Fg%2F11bwd9mlxs!19sChIJO4-1RonrMTARirgjVrXCtcs?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipMzdKJ3V37wQwdPIA3r86FbzjjoZo1vFcWuvAt9=w153-h92-k-no,4.5,687,"Danau Toba, Kabupaten Simalungun, Sumatera Utara 21174",Open 08.00-16.00,2.6883926,98.9242995,Alam,"Pemandangan, Fotografi, Perahu","Batu Gantung di Parapat, Kabupaten Simalungun, adalah formasi batuan alami unik yang menggantung dramatis di tebing tinggi di tepi Danau Toba. Dikenal erat dengan legenda lokal yang menyentuh, batu ini tidak hanya menarik perhatian karena bentuknya yang tidak biasa namun juga menawarkan pemandangan indah Danau Toba dari lokasinya. Batu Gantung menjadi ikon populer yang memadukan keajaiban geologi dengan kekayaan cerita rakyat Batak.",Girsang Sipangan Bolon,0,0,0,0.6153846153846154,0.13819500402900886,0.47222773197793344
Pantai Kasih,https://www.google.com/maps/place/Pantai+Kasih/data=!4m7!3m6!1s0x3031eda036980179:0x4bc3ff6e92075063!8m2!3d2.6668662!4d98.9266075!16s%2Fg%2F11r339mwr8!19sChIJeQGYNqDtMTARY1AHkm7_w0s?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipPI412CiYGhIhGHbDxREbSn4Kv8sAgjCwJWQPIa=w122-h92-k-no,4.3,27,"Pasanggrahan, Tiga Raja, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara 21174",Open 08.00-16.00,2.6668662,98.9266075,Bahari,"Berenang, Santai, Pemandangan, Aktivitas Air","Pantai Kasih di Tigaraja, Girsang Sipangan Bolon, Kabupaten Simalungun, adalah destinasi pantai yang berlokasi di tepi Danau Toba dekat Parapat. Pantai ini menawarkan area yang nyaman untuk bersantai dengan pemandangan Danau Toba yang menawan. Airnya yang tenang menjadikannya cocok untuk berenang dan bermain air, serta dilengkapi fasilitas dasar dan beberapa wahana air tiup di atas danau, menjadikannya tempat yang menyenangkan untuk rekreasi keluarga di tepi danau.",Girsang Sipangan Bolon,10000,0,0,0.4615384615384617,0.005237711522965351,0.32464823653381275
Sibolazi Beach,https://www.google.com/maps/place/Sibolazi+Beach/data=!4m7!3m6!1s0x3031bf54564cdc7f:0x181dff6b9a275193!8m2!3d2.7486107!4d98.7509865!16s%2Fg%2F11bzt7sv7j!19sChIJf9xMVlS_MTARk1Enmmv_HRg?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipOytQUOTambCbHwMCm1eK-PNwWZXRXrvoKoDxIU=w163-h92-k-no,4.2,293,"Sibolazi, Simanindo, Kabupaten Samosir, Sumatera Utara 22395",Open 24 hours,2.7486107,98.7509865,Bahari,"Berenang, Banana Boat, Perahu, Memancing, Santai, Pemandangan, Santai, Camping, Fotografi","Sibolazi Beach di Simanindo, Kabupaten Samosir, adalah pantai menawan di tepi Danau Toba yang dikenal dengan pasir putihnya yang lembut dan air yang jernih. Menawarkan suasana tenang dan keindahan alam yang asri, pantai ini merupakan lokasi ideal untuk berenang, bermain pasir, dan bersantai menikmati pemandangan danau. Dilengkapi fasilitas pendukung seperti penyewaan perahu, Sibolazi Beach menjadi pilihan menarik untuk rekreasi keluarga di Samosir.",Simanindo,10000,0,0,0.384615384615385,0.058823529411764705,0.2868778280542989
